tipo	caminho	titulo	h1	meta_descricao	palavras
pagina	index.php/component/mailto/index.html?tmpl=component&template=businessreport&link=cc80ee2b9c9c89c762e1423766026763ba15fbfc	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	128
pagina	index.php/component/mailto/index.html?tmpl=component&template=businessreport&link=d93fb26a92d28adb3839321706b028cc78942d94	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	128
pagina	index.php/component/users/index.html?view=remind&Itemid=101	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	742
pagina	index.php/component/users/index.html?view=reset&Itemid=101	CDA		Câmara dos Despachantes Aduaneiros de Moçambique	742
pagina	index.php/contacte-nos	Contacte-nos	Contacte-nos	Câmara dos Despachantes Aduaneiros de Moçambique	205
pagina	index.php/documentacao/actas	Actas		Câmara dos Despachantes Aduaneiros de Moçambique	251
pagina	index.php/documentacao/actas?change_direction=1	Actas		Câmara dos Despachantes Aduaneiros de Moçambique	268
pagina	index.php/documentacao/actas?change_direction=2	Actas		Câmara dos Despachantes Aduaneiros de Moçambique	251
pagina	index.php/documentacao/circulares	Circulares		Câmara dos Despachantes Aduaneiros de Moçambique	377
pagina	index.php/documentacao/circulares?change_direction=1	Circulares		Câmara dos Despachantes Aduaneiros de Moçambique	394
pagina	index.php/documentacao/circulares?change_direction=2	Circulares		Câmara dos Despachantes Aduaneiros de Moçambique	377
documento	index.php/documentacao/circulares?download=22:circular-n-005-cda-2014				1692
documento	index.php/documentacao/circulares?download=23:circular-n-006-cda-2014				1693
documento	index.php/documentacao/circulares?download=2:requisitos-para-registo-e-cadastro-de-agentes-transitarios				1685
documento	index.php/documentacao/circulares?download=3:circular-n-5-dga-2014-levantamento-da-pena-de-suspensao-decretada-contra-despachante-aduaneiro-rogerio-rafael-tembe				1623
documento	index.php/documentacao/circulares?download=65:relatorio-de-auditoria				1813
documento	index.php/documentacao/circulares?download=71:programa				1524
pagina	index.php/documentacao/convocatorias	Convocatórias		Câmara dos Despachantes Aduaneiros de Moçambique	402
pagina	index.php/documentacao/convocatorias?change_direction=1	Convocatórias		Câmara dos Despachantes Aduaneiros de Moçambique	419
pagina	index.php/documentacao/convocatorias?change_direction=2	Convocatórias		Câmara dos Despachantes Aduaneiros de Moçambique	402
documento	index.php/documentacao/convocatorias?download=145:convocatoria-da-3-sessao-da-assembleia-geral-extraordinaria				1659
documento	index.php/documentacao/convocatorias?download=175:comunicado-n-01-cda-2017				1937
documento	index.php/documentacao/convocatorias?download=176:convocatoria				2116
documento	index.php/documentacao/convocatorias?download=177:convocatoria				2116
documento	index.php/documentacao/convocatorias?download=198:14-sessao-da-assembleia-geral-ordinaria				1375
documento	index.php/documentacao/convocatorias?download=229:convocatoria-da-16-sessao-da-assembleia-geral-ordinaria				2195
documento	index.php/documentacao/convocatorias?download=257:convocatoria-da-17-assembleia-geral				1929
documento	index.php/documentacao/convocatorias?download=311:18-assembleia-geral-ordinaria-tete				2934
documento	index.php/documentacao/convocatorias?download=319:convocatoria-19-sessao-da-assembleia-geral-ordinaria				2908
documento	index.php/documentacao/convocatorias?download=416:convocatoria-5-assembleia-geral-extraordinaria-da-cda				7141
documento	index.php/documentacao/convocatorias?download=69:convocatoria-12-sessao-da-assembleia-geral-ordinaria				1424
documento	index.php/documentacao/convocatorias?download=91:convocatoria-13-sessao-da-assembleia-geral-ordinaria				1354
pagina	index.php/documentacao/exortacoes	Exortações		Câmara dos Despachantes Aduaneiros de Moçambique	348
pagina	index.php/documentacao/exortacoes?change_direction=1	Exortações		Câmara dos Despachantes Aduaneiros de Moçambique	365
pagina	index.php/documentacao/exortacoes?change_direction=2	Exortações		Câmara dos Despachantes Aduaneiros de Moçambique	348
documento	index.php/documentacao/exortacoes?download=118:exortacao-do-presidente-cda				1412
documento	index.php/documentacao/exortacoes?download=182:exortacao-por-ocasiao-do-fim-de-ano				5661
documento	index.php/documentacao/exortacoes?download=189:exortacao-por-ocasiao-do-inicio-de-ano-2018				4669
documento	index.php/documentacao/exortacoes?download=225:exortacao-do-presidente-dia-nacional-do-despachante-14-09-2018				4729
documento	index.php/documentacao/exortacoes?download=242:exortacao-do-presidente-por-ocasiao-do-fim-do-ano				6084
documento	index.php/documentacao/exortacoes?download=258:ciclone-idai				3589
documento	index.php/documentacao/exortacoes?download=263:encontro-de-reflexao				3068
pagina	index.php/documentacao/legislacao	Legislação		Câmara dos Despachantes Aduaneiros de Moçambique	302
pagina	index.php/documentacao/legislacao?change_direction=1	Legislação		Câmara dos Despachantes Aduaneiros de Moçambique	319
pagina	index.php/documentacao/legislacao?change_direction=2	Legislação		Câmara dos Despachantes Aduaneiros de Moçambique	302
documento	index.php/documentacao/legislacao?download=123:diploma-ministerial-n-16-2012-de-1-de-fevereiro				7253
documento	index.php/documentacao/legislacao?download=13:lei-n-6-2009-de-10-de-marco				14807
documento	index.php/documentacao/legislacao?download=151:decreto-n-18-2011				3688
documento	index.php/documentacao/legislacao?download=163:lei-n-4-2011				11186
documento	index.php/documentacao/legislacao?download=84:estatuto-da-cda				5764
pagina	index.php/documentacao/ordens-de-sercico	Ordens de Serviço		Câmara dos Despachantes Aduaneiros de Moçambique	397
pagina	index.php/documentacao/ordens-de-sercico?change_direction=1	Ordens de Serviço		Câmara dos Despachantes Aduaneiros de Moçambique	414
pagina	index.php/documentacao/ordens-de-sercico?change_direction=2	Ordens de Serviço		Câmara dos Despachantes Aduaneiros de Moçambique	397
documento	index.php/documentacao/ordens-de-sercico?download=28:ordem-de-servico-numero-11-dga-2016				1976
documento	index.php/documentacao/ordens-de-sercico?download=29:ordem-de-servico-numero-10-dga-2016				6197
documento	index.php/documentacao/ordens-de-sercico?download=33:os-n-13-dga-16				714
documento	index.php/documentacao/ordens-de-sercico?download=34:ordem-de-servic-o-n-14-dga-2016				1952
documento	index.php/documentacao/ordens-de-sercico?download=35:ordem-de-servic-o-n-19-dga-20160001				2786
documento	index.php/documentacao/ordens-de-sercico?download=36:os-n-20-dga-16				879
documento	index.php/documentacao/ordens-de-sercico?download=37:os-n-19-dga-2016				2507
documento	index.php/documentacao/ordens-de-sercico?download=38:os-n-21-dga-16				927
documento	index.php/documentacao/ordens-de-sercico?download=43:ordem-de-servico-n-29-dga-2016				2297
documento	index.php/documentacao/ordens-de-sercico?download=5:certificacao-de-operador-economico-autorizado				1561
documento	index.php/documentacao/ordens-de-sercico?download=6:regularizacao-da-situacao-de-viaturas-importadas-com-beneficio-fiscal				1527
pagina	index.php/documentacao/regulamentos	Regulamentos		Câmara dos Despachantes Aduaneiros de Moçambique	254
pagina	index.php/documentacao/regulamentos?change_direction=1	Regulamentos		Câmara dos Despachantes Aduaneiros de Moçambique	271
pagina	index.php/documentacao/regulamentos?change_direction=2	Regulamentos		Câmara dos Despachantes Aduaneiros de Moçambique	254
pagina	index.php/documentacao/relatorios	Relatórios		Câmara dos Despachantes Aduaneiros de Moçambique	255
pagina	index.php/documentacao/relatorios?change_direction=1	Relatórios		Câmara dos Despachantes Aduaneiros de Moçambique	272
pagina	index.php/documentacao/relatorios?change_direction=2	Relatórios		Câmara dos Despachantes Aduaneiros de Moçambique	255
pagina	index.php/fotos-galeria	Fotos	Fotos	Câmara dos Despachantes Aduaneiros de Moçambique	308
pagina	index.php/links-relevantes	Links Relevantes	Links Relevantes	Câmara dos Despachantes Aduaneiros de Moçambique	246
pagina	index.php/links-relevantes?format=feed&type=atom	Links RelevantesMinistério da Indústria e ComércioAutoridade Tributária de MoçambiqueLegislação AduaneiraJanela Única Electrónica - JUECâmada dos Despachantes Oficiais de AngolaÓrdem dos Despachantes Oficiais de PortugalFederacao Mundial dos Despachantes Oficiais			56
pagina	index.php/links-relevantes?format=feed&type=rss	Links RelevantesMinistério da Indústria e ComércioAutoridade Tributária de MoçambiqueLegislação AduaneiraJanela Única Electrónica - JUECâmada dos Despachantes Oficiais de AngolaÓrdem dos Despachantes Oficiais de PortugalFederacao Mundial dos Despachantes Oficiais			89
pagina	index.php/parceiros	Parceiros	Parceiros	Câmara dos Despachantes Aduaneiros de Moçambique	273
pagina	index.php/parceiros?change_direction=1	Parceiros	Parceiros	Câmara dos Despachantes Aduaneiros de Moçambique	290
pagina	index.php/parceiros?change_direction=2	Parceiros	Parceiros	Câmara dos Despachantes Aduaneiros de Moçambique	273
pagina	index.php/sobre-nos/historico	Histórico	Histórico	Câmara dos Despachantes Aduaneiros de Moçambique	557
pagina	index.php/sobre-nos/historico?change_direction=1	Histórico	Histórico	Câmara dos Despachantes Aduaneiros de Moçambique	574
pagina	index.php/sobre-nos/historico?change_direction=2	Histórico	Histórico	Câmara dos Despachantes Aduaneiros de Moçambique	557
pagina	index.php/sobre-nos/missao-e-valores	Missão e Valores	Missão e Valores	Câmara dos Despachantes Aduaneiros de Moçambique	344
pagina	index.php/sobre-nos/missao-e-valores?change_direction=1	Missão e Valores	Missão e Valores	Câmara dos Despachantes Aduaneiros de Moçambique	361
pagina	index.php/sobre-nos/missao-e-valores?change_direction=2	Missão e Valores	Missão e Valores	Câmara dos Despachantes Aduaneiros de Moçambique	344
pagina	index.php/sobre-nos/orgao-sociais	Orgãos Sociais	Orgãos Sociais	Câmara dos Despachantes Aduaneiros de Moçambique	343
pagina	index.php/sobre-nos/orgao-sociais?change_direction=1	Orgãos Sociais	Orgãos Sociais	Câmara dos Despachantes Aduaneiros de Moçambique	360
pagina	index.php/sobre-nos/orgao-sociais?change_direction=2	Orgãos Sociais	Orgãos Sociais	Câmara dos Despachantes Aduaneiros de Moçambique	343
pagina	index.php/sobre-nos?change_direction=1	Sobre Nós	Sobre Nós	Câmara dos Despachantes Aduaneiros de Moçambique	355
pagina	index.php/sobre-nos?change_direction=2	Sobre Nós	Sobre Nós	Câmara dos Despachantes Aduaneiros de Moçambique	338
pagina	index.php?change_direction=1	CDA - Câmara dos Despachantes Aduaneiros de Moçambique		Câmara dos Despachantes Aduaneiros de Moçambique	739
pagina	index.php?change_direction=2	CDA - Câmara dos Despachantes Aduaneiros de Moçambique		Câmara dos Despachantes Aduaneiros de Moçambique	722
pagina	index.php?format=feed&type=atom	CDA - Câmara dos Despachantes Aduaneiros de Moçambique			13
pagina	index.php?format=feed&type=rss	CDA - Câmara dos Despachantes Aduaneiros de Moçambique			12
